Boombox shop list,,,,
Produit,Ref,Acheté ?,Prix,Lien
Raspberry Pi,Raspberry Pi 4,,40€,
HifiBerry DAC,DAC+ standard - RCA version,,"29,90€",https://www.hifiberry.com/shop/boards/hifiberry-dacplus-rca-version/
Amplificateur,Pioneer A20,YES,120€,Leboncoin
Enceintes,,YES,0€,Eulalie
Tags NFC,Tags NFC adhésifs NTAG210μ 22mm x 100,YES,"34,80€",https://www.shopnfc.com/fr/etiquettes-nfc/220-tags-nfc-ntag210-22mm-adhesifs.html#
Lecteur NFC,"PN532 NFC/RFID 13,56MHz",YES,"16,32€",Botland
Arduino + cable USB,"Arduino Uno Rev3 - module A000066 ",YES,"25,50€",Botland
Breadboard,K497SD 12 - 840,YES,13€,
Jumper wires (Dupont),0182 jeu de 40,YES,5€,
Boutons,F113Bouton KN-11 + E461 BOUTON x3 + E511Poussoir Lum,YES,"10,25€",
Potentiomètre,C48010K ohms,YES,"2,90€",
Capacitor,D727,YES,"16,95€",
Resistances,B215,YES,"11,95€",
Leds,Y27Oled 5mm - RGB x 3,YES,6€,
USB A<>B cable,Fnac,YES,11.99€,